BranchEvent: (1065361410) sources/demo/ExpOne#check():16 [0]
BranchEvent: (956309506) sources/demo/ExpTwo#test():18 [0]
CallEvent: (-1124061180) sources/serialize/UnsafeSerialize#readObject():39 --> sources/demo/Safe#safe(Lsources/demo/SafeClass;Lsources/demo/SafeClass;)V
CallEvent: (-1124061181) sources/serialize/UnsafeSerialize#readObject():38 --> sources/demo/Safe#<init>()V
CallEvent: (000000000) #<unknown>():0 --> sources/serialize/UnsafeSerialize#writeObject(Ljava/io/ObjectOutputStream;)V
CallEvent: (1065361412) sources/demo/ExpOne#check():19 --> sources/demo/ExpTwo#test(Ljava/lang/String;)V
CallEvent: (1333792770) sources/demo/Safe#<init>():12 --> sources/demo/SafeClass#<init>()V
CallEvent: (1333792771) sources/demo/Safe#<init>():13 --> sources/demo/SafeClass#<init>()V
CallEvent: (1333805057) sources/demo/Safe#safe():34 --> sources/demo/ExpOne#check(Lsources/demo/SafeClass;)V
CallEvent: (494936065) sources/dynamic/Reflect#handleMethod():10 --> sources/dynamic/Reflect#exec(Ljava/lang/String;)V
CallEvent: (494940161) sources/dynamic/Reflect#exec():14 --> sources/demo/EvilObject#<init>()V
CallEvent: (494940162) sources/dynamic/Reflect#exec():15 --> sources/demo/EvilObject#evil(Ljava/lang/String;)V
CallEvent: (956309509) sources/demo/ExpTwo#test():23 --> sources/dynamic/Reflect#<init>()V
CallEvent: (956309510) sources/demo/ExpTwo#test():24 --> sources/dynamic/Reflect#handleMethod(Ljava/lang/String;)V
