java.lang.Object	<init>	()V
java.lang.Class	forName	(Ljava/lang/String;)Ljava/lang/Class;
java.lang.Class	newInstance	()Ljava/lang/Object;
java.lang.Class	getMethod	(Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;
java.io.ObjectInputStream	defaultReadObject	()V
sources.demo.SafeTwo	test	(Ljava/lang/String;)V
sources.demo.Safe	<init>	()V
sources.demo.Safe	safe	(Lsources/demo/SafeClass;Lsources/demo/SafeClass;)V
sources.demo.ExpOne	check	(Lsources/demo/SafeClass;)V
sources.demo.SafeClass	<init>	()V
sources.demo.SafeClass	test	(Ljava/lang/String;)V
sources.demo.SafeClass	check	(Lsources/demo/SafeClass;)V
sources.demo.ExpTwo	test	(Ljava/lang/String;)V
sources.serialize.UnsafeSerialize	readObject	(Ljava/io/ObjectInputStream;)V
sources.demo.EvilObject	evil	(Ljava/lang/String;)V
sources.demo.EvilObject	<init>	()V
sources.dynamic.Reflect	exec	(Ljava/lang/String;)V
sources.dynamic.Reflect	handleMethod	(Ljava/lang/String;)V
sources.demo.SafeOne	check	(Lsources/demo/SafeClass;)V
